City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Katobu,ID,-4.9408,122.5276,76.57,91,95,1.41,overcast clouds
121,Lata,PT,40.1629,-8.3327,68.07,64,96,7.0,overcast clouds
122,Husavik,IS,66.0449,-17.3389,39.29,90,81,8.19,broken clouds
123,Poronaysk,RU,49.2167,143.1167,29.19,66,100,16.4,overcast clouds
124,Esperance,AU,-33.8667,121.9,53.44,66,100,8.21,overcast clouds
125,Namatanai,PG,-3.6667,152.4333,80.08,82,92,9.55,light rain
126,Barra Do Bugres,BR,-15.0725,-57.1811,97.75,31,63,8.46,broken clouds
127,Abu Dhabi,AE,24.4667,54.3667,84.31,74,0,9.22,clear sky
128,Naze,JP,28.3667,129.4833,67.26,82,74,13.76,broken clouds
129,Terrace,CA,54.5163,-128.6035,30.11,93,100,2.3,light snow
130,Bartica,GY,6.4,-58.6167,84.49,79,95,4.52,overcast clouds
131,Kahului,US,20.8947,-156.47,73.85,95,10,4.0,moderate rain
132,Terney,RU,45.0503,136.6092,26.17,83,9,9.26,clear sky
133,Kaputa,ZM,-8.4689,29.6619,68.63,85,100,3.31,overcast clouds
134,Luanda,AO,-8.8368,13.2343,82.4,65,20,13.8,few clouds
135,Tuatapere,NZ,-46.1333,167.6833,45.36,97,77,4.7,broken clouds
136,Kurakh,RU,41.5849,47.7831,45.23,42,78,5.57,broken clouds
137,Port Alfred,ZA,-33.5906,26.891,66.18,68,0,5.99,clear sky
138,Clyde River,CA,70.4692,-68.5914,-5.15,91,93,5.48,overcast clouds
139,Mar Del Plata,AR,-38.0023,-57.5575,69.82,90,75,14.97,broken clouds
140,Lorengau,PG,-2.0226,147.2712,81.95,78,98,4.88,overcast clouds
141,Sechura,PE,-5.5569,-80.8222,73.99,56,33,6.62,scattered clouds
142,Metro,ID,-5.1131,105.3067,75.97,85,100,5.86,light rain
143,Moerai,PF,-22.4333,-151.3333,68.95,61,1,6.67,clear sky
144,La Rioja,ES,42.25,-2.5,58.78,46,35,5.37,scattered clouds
145,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,72,75,9.22,light rain
146,Mopti,ML,14.6667,-4.0,97.75,18,53,3.98,broken clouds
147,Navalcarnero,ES,40.2891,-4.012,64.76,55,26,6.08,scattered clouds
148,Gobabis,NA,-22.45,18.9667,83.8,9,0,11.21,clear sky
149,Nikolskoye,RU,59.7035,30.7861,42.69,71,100,7.9,overcast clouds
150,Charters Towers,AU,-20.1,146.2667,70.74,77,54,10.69,broken clouds
151,Kargasok,RU,59.0556,80.8572,14.79,98,66,3.51,broken clouds
152,Sunbury,AU,-37.5833,144.7333,57.56,89,75,20.71,broken clouds
153,Hasaki,JP,35.7333,140.8333,61.21,81,58,25.17,broken clouds
154,Mbour,SN,14.422,-16.9638,88.65,34,99,8.68,overcast clouds
155,Port Augusta,AU,-32.5,137.7667,59.58,66,76,20.15,broken clouds
156,Araouane,ML,18.9048,-3.5265,92.89,11,100,11.21,overcast clouds
157,Iralaya,HN,15.0,-83.2333,82.89,76,10,10.02,light rain
158,Mitsuke,JP,37.5333,138.9333,52.36,95,100,10.27,overcast clouds
159,Horki,BY,54.2861,30.9842,41.88,81,78,11.48,broken clouds
160,Atasu,KZ,48.6814,71.6433,27.68,74,80,19.66,broken clouds
161,Kanata,CA,45.3159,-75.8985,33.98,71,69,7.0,broken clouds
162,Busselton,AU,-33.65,115.3333,50.95,77,0,12.71,clear sky
163,Aitape,PG,-3.1374,142.3475,78.21,87,77,2.28,broken clouds
164,Saint George,US,37.1041,-113.5841,37.99,65,75,0.0,broken clouds
165,Aleksandrov Gay,RU,50.147,48.5704,44.94,63,29,24.09,scattered clouds
166,San Cristobal,VE,7.7669,-72.225,79.0,65,88,2.01,overcast clouds
167,Half Moon Bay,US,37.4636,-122.4286,52.32,83,0,4.61,clear sky
168,Luganville,VU,-15.5333,167.1667,77.2,86,5,2.1,clear sky
169,Tuim,RU,54.3417,89.9261,33.01,70,100,19.35,overcast clouds
170,Arraial Do Cabo,BR,-22.9661,-42.0278,75.42,79,35,8.25,scattered clouds
171,Kupang,ID,-10.1667,123.5833,80.08,87,99,7.49,overcast clouds
172,Tumut,AU,-35.3,148.2167,56.71,92,100,6.67,overcast clouds
173,Boffa,GN,10.1667,-14.0333,86.5,54,16,9.44,few clouds
174,Bardiyah,LY,31.7561,25.0865,66.29,61,0,9.35,clear sky
175,Moron,AR,-34.6534,-58.6198,84.02,75,100,10.02,light rain
176,Victoria,HK,22.2855,114.1577,77.38,85,8,5.99,clear sky
177,Avondale,US,33.4356,-112.3496,59.18,51,0,4.61,clear sky
178,Ivanava,BY,52.1451,25.5365,47.1,88,85,5.06,overcast clouds
179,Gurmatkal,IN,16.8667,77.4,75.67,63,100,6.04,overcast clouds
180,Pocone,BR,-16.2567,-56.6228,99.1,28,41,10.63,scattered clouds
181,Guerrero Negro,MX,27.9769,-114.0611,64.54,58,18,10.07,few clouds
182,Souillac,MU,-20.5167,57.5167,73.78,69,0,6.49,clear sky
183,Muros,ES,42.7762,-9.0603,61.68,90,97,18.39,overcast clouds
184,Berlevag,NO,70.8578,29.0864,33.8,80,20,11.5,few clouds
185,Huarmey,PE,-10.0681,-78.1522,67.73,75,95,8.12,overcast clouds
186,Chipinge,ZW,-20.1883,32.6236,70.75,73,72,3.76,broken clouds
187,Klaksvik,FO,62.2266,-6.589,49.12,95,99,14.09,overcast clouds
188,Champerico,GT,14.3,-91.9167,86.54,72,85,1.92,overcast clouds
189,Behshahr,IR,36.6923,53.5526,56.7,80,0,3.83,clear sky
190,Jumla,NP,29.2747,82.1838,41.36,53,17,4.63,few clouds
191,Basoko,CD,1.2391,23.616,76.82,74,96,2.13,overcast clouds
192,Whitehorse,CA,60.7161,-135.0538,26.1,92,100,5.59,overcast clouds
193,Luderitz,NA,-26.6481,15.1594,66.45,68,0,27.11,clear sky
194,Dikson,RU,73.5069,80.5464,-8.0,100,75,6.96,broken clouds
195,Sawtell,AU,-30.3833,153.1,72.19,78,100,5.75,overcast clouds
196,Evensk,RU,61.95,159.2333,16.03,91,100,3.69,overcast clouds
197,Ypsonas,CY,34.6884,32.9574,72.45,64,0,2.3,clear sky
198,Gizo,SB,-8.103,156.8419,80.94,79,100,8.57,light rain
199,Blackwater,AU,-23.5833,148.8833,70.3,80,95,11.83,light rain
200,Severo-Kurilsk,RU,50.6789,156.125,32.43,61,100,9.98,overcast clouds
201,Barinitas,VE,8.7622,-70.4111,83.17,61,47,4.81,scattered clouds
202,Preobrazheniye,RU,42.9019,133.9064,29.64,68,2,4.88,clear sky
203,Pinega,RU,64.7001,43.3936,26.42,72,68,11.27,broken clouds
204,Graham,US,47.0529,-122.2943,38.12,93,100,3.44,overcast clouds
205,Merauke,ID,-8.4667,140.3333,79.45,87,81,10.25,broken clouds
206,Baykit,RU,61.67,96.37,3.87,94,100,7.31,light snow
207,Naryan-Mar,RU,67.6713,53.087,20.19,91,84,15.86,broken clouds
208,Mayya,RU,61.7333,130.2811,-15.48,100,92,2.53,overcast clouds
209,Landskrona,SE,55.8708,12.8302,52.18,96,100,5.57,overcast clouds
210,Muzhi,RU,65.3667,64.6667,-0.54,91,100,8.9,overcast clouds
211,Albany,US,42.6001,-73.9662,46.45,65,98,1.99,overcast clouds
212,Vinh,VN,18.6667,105.6667,75.24,86,98,2.71,overcast clouds
213,Nakhon Phanom,TH,17.3333,104.4167,74.32,77,21,6.04,few clouds
214,Saint-Georges,GD,12.0564,-61.7485,82.31,76,94,10.98,overcast clouds
215,Sioux Lookout,CA,50.1001,-91.917,16.9,86,94,3.42,overcast clouds
216,Baruun-Urt,MN,46.6806,113.2792,20.86,56,33,7.16,scattered clouds
217,Bilibino,RU,68.0546,166.4372,-19.39,99,88,3.87,overcast clouds
218,Kondagaon,IN,19.6,81.6667,60.91,73,14,4.61,few clouds
219,Belaya Gora,RU,68.5333,146.4167,-27.58,100,97,0.92,overcast clouds
220,Arcachon,FR,44.5875,-1.0519,73.45,43,0,0.0,clear sky
221,Pointe Michel,DM,15.25,-61.3833,82.44,76,11,13.65,few clouds
222,Odweyne,SO,9.4092,45.064,71.83,48,0,14.67,clear sky
223,Yomou,GN,7.5603,-9.2653,78.12,89,100,1.16,moderate rain
224,Bethel,US,41.3712,-73.414,47.03,79,100,6.91,overcast clouds
