City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
403,Bonthe,SL,81.9,light rain,7.5264,-12.505,Bonthe Holiday Village
406,Matara,LK,75.87,light rain,5.9485,80.5353,Amaloh Boutique Resort
408,Bubaque,GW,83.19,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
413,Manokwari,ID,77.99,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
420,Srivardhan,IN,77.0,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
426,Port Blair,IN,80.4,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
427,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
429,Cabo San Lucas,MX,78.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
430,Dapdap,PH,81.14,scattered clouds,12.062,125.4881,Oasis Lodge
435,Tagusao,PH,79.79,scattered clouds,9.1924,117.8141,Caycay future beach resort
440,Dhidhdhoo,MV,82.31,overcast clouds,6.8833,73.1,Dhidhoo beach
442,Pochutla,MX,85.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
448,Buta,CD,75.06,overcast clouds,2.7858,24.73,Hôtel BOPANDO
450,Touros,BR,84.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
457,Garissa,KE,88.27,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
459,Morondava,MG,82.27,light rain,-20.2833,44.2833,La Case Bambou
461,Tanout,NE,85.17,few clouds,14.9709,8.8879,
463,Samana,DO,82.62,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
471,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
472,Adeje,ES,78.1,scattered clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
473,Barentu,ER,83.48,clear sky,15.1139,37.5928,
476,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
483,Dwarka,IN,79.95,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
484,Ler,SS,82.53,broken clouds,8.3018,30.1418,Leer Humanitarian Hub
492,Vanimo,PG,78.89,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
499,Riyadh,SA,80.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
500,Imbituba,BR,76.75,light rain,-28.24,-48.6703,Praia Hotel Imbituba
501,Bowen,AU,75.79,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
502,San Pedro,PH,81.27,few clouds,14.35,121.0167,Palines Apartment and Guesthouse
507,Kidal,ML,89.2,broken clouds,18.4411,1.4078,
508,Cantapoy,PH,79.3,scattered clouds,9.4906,125.4364,Brgy Pili Mountain View
511,Capandanan,PH,76.14,overcast clouds,15.95,120.6833,"Golden Sunrise Hotel, Rosales Pangasinan"
512,Celestun,MX,82.35,clear sky,20.8667,-90.4,Posada Lilia
514,Kalmunai,LK,77.85,overcast clouds,7.4167,81.8167,VS Villa
517,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
518,Mamou,GN,86.49,few clouds,10.5,-12.0,
519,Tual,ID,84.02,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
522,Alyangula,AU,83.23,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
527,Arlit,NE,86.59,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
532,Ilebo,CD,77.92,light rain,-4.3167,20.5833,Hôtel BUMAK
537,Buala,SB,79.14,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
538,Garowe,SO,83.26,clear sky,8.4054,48.4845,Sacaada Hotel
539,Sao Joao Da Barra,BR,87.89,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
543,Buluang,PH,76.66,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
546,Joao Pinheiro,BR,86.07,overcast clouds,-17.7425,-46.1725,Hotel Santos
