City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Krasnoselkup,RU,2022-11-11 23:28:00,65.7,82.4667,-15.66,96,31,5.53
119,Hambantota,LK,2022-11-11 23:19:48,6.1241,81.1185,77.65,80,100,8.39
120,Saskylakh,RU,2022-11-11 23:28:01,71.9167,114.0833,-17.0,98,95,1.7
121,Ribeira Grande,PT,2022-11-11 23:28:01,38.5167,-28.7,60.78,77,4,4.0
122,Brejo,BR,2022-11-11 23:28:01,-3.6844,-42.7503,77.83,80,62,7.25
123,Ponta Do Sol,PT,2022-11-11 23:28:01,32.6667,-17.1,67.71,81,57,2.35
124,Ambon,ID,2022-11-11 23:19:38,-3.6954,128.1814,79.23,14,40,3.44
125,Mnogovershinnyy,RU,2022-11-11 23:28:03,53.9353,139.9242,14.9,91,91,3.87
126,East London,ZA,2022-11-11 23:28:04,-33.0153,27.9116,70.72,91,100,18.45
127,El Doncello,CO,2022-11-11 23:28:05,1.6782,-75.2847,74.44,92,80,2.35
128,Nikolskoye,RU,2022-11-11 23:19:43,59.7035,30.7861,53.49,91,100,10.96
129,Hilo,US,2022-11-11 23:26:55,19.7297,-155.09,80.33,68,40,17.27
130,Atuona,PF,2022-11-11 23:28:05,-9.8,-139.0333,77.34,79,13,14.0
131,Saint-Pierre,RE,2022-11-11 23:28:06,-21.3393,55.4781,71.28,68,0,6.91
132,Pilar,BR,2022-11-11 23:28:06,-9.5972,-35.9567,76.93,91,32,4.52
133,Tasiilaq,GL,2022-11-11 23:21:25,65.6145,-37.6368,35.76,66,100,21.92
134,Bredasdorp,ZA,2022-11-11 23:28:06,-34.5322,20.0403,62.94,97,63,1.63
135,Taksimo,RU,2022-11-11 23:23:26,56.3444,114.8794,4.23,87,57,1.88
136,Chuy,UY,2022-11-11 23:29:07,-33.6971,-53.4616,63.07,86,5,11.03
137,Hokitika,NZ,2022-11-11 23:29:07,-42.7167,170.9667,58.19,86,100,1.57
138,Marabba,SD,2022-11-11 23:21:34,12.35,32.1833,78.78,19,64,12.39
139,Lorengau,PG,2022-11-11 23:29:08,-2.0226,147.2712,83.57,71,98,3.49
140,West Wendover,US,2022-11-11 23:29:08,40.7391,-114.0733,34.81,51,0,4.61
141,Young,UY,2022-11-11 23:29:08,-32.6833,-57.6333,72.9,52,72,9.75
142,Mombaca,BR,2022-11-11 23:29:09,-5.7431,-39.6275,84.31,42,40,3.58
143,Uyemskiy,RU,2022-11-11 23:29:09,64.4743,40.8524,42.85,100,100,8.95
144,Kahului,US,2022-11-11 23:29:09,20.8947,-156.47,84.22,55,40,18.41
145,Bethel,US,2022-11-11 23:29:10,41.3712,-73.414,68.0,88,100,1.01
146,Rochegda,RU,2022-11-11 23:29:13,62.8,43.25,39.24,97,100,6.44
147,Roald,NO,2022-11-11 23:29:14,62.5833,6.1333,55.76,87,100,21.85
148,Mahebourg,MU,2022-11-11 23:29:14,-20.4081,57.7,71.89,78,75,3.44
149,Aksay,RU,2022-11-11 23:29:15,47.26,39.87,45.25,67,19,5.01
150,Kavieng,PG,2022-11-11 23:29:15,-2.5744,150.7967,84.34,73,98,6.44
